mixture_ID,source_1_path,source_1_gain,source_2_path,source_2_gain,noise_path,noise_gain
audio00000,audio/quac-C_af4639429ba041c6ad87b6596cfdd78b_1_q#4-c-3.wav,1.7960538922750333,audio/quac-C_412561c18bb14ad4a7fe4cd6fd09d0ed_0_q#2-q-0.wav,0.5700186491526651,tr/01kc0207_0.024226_01do030l_-0.024226.wav,2.9444749254564373
audio00001,audio/newsqa-1f980f275f3e4d189dd30cdac19cb606-c-0.wav,0.3539039141363741,audio/quac-C_08e8c5f9b62b4fd195cf00093eddfc7f_1_q#4-c-8.wav,0.4978024947197375,tr/40pc020r_0.63472_206o010c_-0.63472.wav,0.6526336679533644
audio00002,audio/quac-C_1873c4f81ac24c6980a3235172ccebab_1_q#1-c-6.wav,0.7173757576168986,audio/quac-C_3e7c4d0e33504faeb7704c042414bc79_0_q#5-c-5.wav,2.4903254773277963,tr/019o0318_2.2254_40po030f_-2.2254.wav,3.4804349041901608
audio00003,audio/quac-C_2d2ac28a31d340be94d43f908df1d65e_0_q#5-c-1.wav,0.524769249352487,audio/quac-C_8812f60078f14c69a724af179e567d72_1_q#8-c-13.wav,4.90903899107016,tr/011a0101_1.4817_407o030n_-1.4817.wav,1.3091413958043183
audio00004,audio/squad-5a0c99fcf5590b0018dab4a4-c-4.wav,0.3951938741493106,audio/quac-C_c1573866a99f4b9393fe2b9f9f4ac94b_0_q#1-q-0.wav,0.3401076524728964,tr/02ec0208_0.18459_20vc0105_-0.18459.wav,1.3564218345500163
audio00005,audio/quac-C_af4639429ba041c6ad87b6596cfdd78b_1_q#4-c-0.wav,1.319034572291341,audio/quac-C_8812f60078f14c69a724af179e567d72_1_q#8-c-11.wav,4.660950194940823,tr/01po030l_0.91212_01jo0302_-0.91212.wav,0.7692630329892024
audio00006,audio/quac-C_08e8c5f9b62b4fd195cf00093eddfc7f_1_q#4-c-6.wav,0.36789944077545306,audio/newsqa-9a460baac9624873b82ce0f9704169f7-c-5.wav,0.7219769317887802,tr/02da010z_2.4641_408a010u_-2.4641.wav,3.0076878028422684
audio00007,audio/quac-C_1873c4f81ac24c6980a3235172ccebab_1_q#1-c-0.wav,0.6856313266496493,audio/quac-C_d164bbd963654c10a11cdc41c19a9a4a_0_q#0-c-12.wav,0.2523953620007032,tr/40co030c_0.004306_40kc021b_-0.004306.wav,0.4811387046736854
audio00008,audio/quac-C_761e993c8658494bba469dce01fd7b15_0_q#1-c-2.wav,0.2547319372157236,audio/squad-5ad26235d7d075001a429083-c-3.wav,0.23442037534257987,tr/025o0316_2.4684_40ao0309_-2.4684.wav,1.3270106417308782
audio00009,audio/squad-572885c44b864d1900164a7b-c-0.wav,0.4443907132529658,audio/quac-C_7caba58103d44db9a549c63600159c75_1_q#6-c-8.wav,0.4202663137788562,tr/025c0201_2.0065_40mo030c_-2.0065.wav,1.2831008443401708
audio00010,audio/newsqa-777d572acbd449ba91d30972acb47380-q-0.wav,0.6992526515479853,audio/squad-5710e9f8a58dae1900cd6b32-c-1.wav,0.4577448992043221,tr/20ba0105_0.15342_407o0319_-0.15342.wav,0.9522595975327238
audio00011,audio/quac-C_8812f60078f14c69a724af179e567d72_1_q#8-c-0.wav,5.30657947279103,audio/quac-C_08e8c5f9b62b4fd195cf00093eddfc7f_1_q#4-q-0.wav,0.20023821481866846,tr/022c021b_0.48669_20ko010a_-0.48669.wav,1.2970160194861289
audio00012,audio/quac-C_2c9aeb60169c4d519cea286706fac57a_1_q#4-c-3.wav,0.46030413933915065,audio/newsqa-9a460baac9624873b82ce0f9704169f7-c-5.wav,0.5491511819135418,tr/204c010b_1.1927_20cc0106_-1.1927.wav,1.8526667114308508
audio00013,audio/newsqa-9a460baac9624873b82ce0f9704169f7-c-6.wav,0.4377466771956501,audio/quac-C_49df1a3d8a104ac18720c7e0be7a2aa3_1_q#3-c-1.wav,0.19335597862992648,tr/01qc0207_1.5069_20ra0111_-1.5069.wav,1.4040411850263559
audio00014,audio/newsqa-1f980f275f3e4d189dd30cdac19cb606-c-3.wav,0.21841472386007219,audio/squad-572815d9ff5b5019007d9cbe-c-2.wav,0.20910929220037808,tr/407c021h_0.86061_01co0319_-0.86061.wav,1.537006031393045
audio00015,audio/squad-5ad258f3d7d075001a428de6-c-1.wav,0.7256822596583382,audio/newsqa-13d12f86109c440ea04d2db998fdcaa5-c-3.wav,0.36044785353976017,tr/40ia010s_1.0329_01yo030r_-1.0329.wav,0.5596663333574855
audio00016,audio/quac-C_58167e2e608c425bbb6d42b4b26f5419_0_q#5-c-0.wav,0.1556278763334026,audio/quac-C_420bfcf5d8b344a480ac654f08ee55ad_1_q#4-c-16.wav,0.4359385400078214,tr/207a010d_0.080515_40cc020y_-0.080515.wav,3.88208315932511
