mixture_ID,source_1_path,source_1_gain,noise_path,noise_gain
audio00000,audio/quac-C_f675ed1288a84e5baf8ed56232446c5c_0_q#2-c-0.wav,0.3741016697015187,tr/40jc0205_0.43381_20qc0101_-0.43381.wav,2.6092345770140843
audio00001,audio/newsqa-f71433833cb84eb4b23c1e0985a47cbc-c-3.wav,0.28497102838364324,tr/20do0101_1.4101_409a0111_-1.4101.wav,3.1408903452281773
audio00002,audio/newsqa-fe9356091d624fb0be50f4cb6816dca3-q-0.wav,0.535143731181974,tr/20oo0105_0.58042_20va0108_-0.58042.wav,0.913666615724207
audio00003,audio/quac-C_0ea3e45f2459444f9fef9f7ab04d8f8e_0_q#3-c-4.wav,0.5912765322433927,tr/011c021d_2.3656_40jo030i_-2.3656.wav,0.640961768754296
audio00004,audio/quac-C_08e8c5f9b62b4fd195cf00093eddfc7f_1_q#4-c-0.wav,0.21222190664437857,tr/40go030n_0.14503_025o0316_-0.14503.wav,0.6180143357434121
audio00005,audio/newsqa-1f980f275f3e4d189dd30cdac19cb606-c-2.wav,0.3555468615262084,tr/20qo0102_0.1038_401o0301_-0.1038.wav,2.136699445316466
audio00006,audio/quac-C_7d5560b23977415f9b2fda38a973e3b6_0_q#10-q-0.wav,1.0436224864261634,tr/02ac020c_0.84302_014c021h_-0.84302.wav,0.946162167405262
audio00007,audio/quac-C_898087a45105402ab04da342233b1341_1_q#7-c-2.wav,0.41132467766737124,tr/025o030l_2.1072_20va0114_-2.1072.wav,1.5956792830473574
audio00008,audio/quac-C_850d3bec308b443a818eb036ac01589b_0_q#1-q-0.wav,0.30895311696882144,tr/028a010g_1.3859_206a0105_-1.3859.wav,1.1521615862234025
audio00009,audio/squad-5ad40bd9604f3c001a400037-c-5.wav,0.19192785142020075,tr/01no0302_0.83755_20qo010g_-0.83755.wav,0.4606822429995948
audio00010,audio/squad-571cac5d5efbb31900334dd1-c-1.wav,0.5694269632531137,tr/204o0105_1.4262_207o0104_-1.4262.wav,2.0618667622479663
audio00011,audio/squad-5acff00c77cf76001a6865b6-c-3.wav,0.30036964144982453,tr/40lo030g_0.60045_01fc0202_-0.60045.wav,1.9744410528096332
audio00012,audio/quac-C_93a499236cd14111bf5b68fd247eb9ca_0_q#0-c-0.wav,0.2885732020096776,tr/02ca010t_0.98958_02dc0216_-0.98958.wav,1.1367034946493524
audio00013,audio/quac-C_78ec5531ca3f4c00a666897498eb6ce5_1_q#4-c-9.wav,0.14793255974559494,tr/01nc0202_1.1233_20jc0102_-1.1233.wav,5.820151300525342
audio00014,audio/quac-C_f47303e24a3c4b2b95b5462023bf4963_0_q#2-c-1.wav,0.31271573617648607,tr/024o0317_0.51101_20oo0104_-0.51101.wav,1.0427190102269388
audio00015,audio/quac-C_9eeb108353bb49ce979844fb47b36ead_0_q#2-c-7.wav,0.7063627796569049,tr/01cc021d_1.5465_029o030n_-1.5465.wav,4.239025112260756
audio00016,audio/quac-C_620311268a6e4b9b8b319ded5e244ccd_0_q#8-c-7.wav,0.232429279564449,tr/40ho030t_0.78175_40ic0215_-0.78175.wav,1.200232872112918
audio00017,audio/squad-57299021af94a219006aa50b-c-5.wav,0.33546000441155344,tr/01qc020r_2.249_206o010p_-2.249.wav,0.32345694413327447
audio00018,audio/quac-C_9648f70b45b94e1ab56eb171bed094c9_0_q#2-c-1.wav,5.914400080445614,tr/01bc021f_2.4987_20ka0107_-2.4987.wav,0.8598753215265916
audio00019,audio/quac-C_dde55c20816440b4a7ed746c8daf6694_0_q#4-c-4.wav,0.9724433448757206,tr/20ao010e_1.0646_20ko010m_-1.0646.wav,1.486516938343362
audio00020,audio/squad-5ad55ee35b96ef001a10ace8-c-1.wav,0.20914525549409757,tr/403o030w_1.5815_20do0101_-1.5815.wav,1.3752262597809402
audio00021,audio/quac-C_98439b45914b420e81bef99afb657b71_0_q#3-c-0.wav,0.573573344102576,tr/012a010x_0.7997_403o030p_-0.7997.wav,0.5743333690759796
audio00022,audio/quac-C_eb63b375b47a460ea37035571eb89411_0_q#4-q-0.wav,0.4551754923738807,tr/20fc010f_0.27116_20bo010l_-0.27116.wav,2.446557270223492
